recording,n_components,n_removed,removed_labels
sub-01_ses-01_task-training_eeg,30,9,eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;channel noise
sub-02_ses-01_task-training_eeg,30,7,eye blink;muscle artifact;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-01_ses-02_task-training_eeg,30,5,eye blink;eye blink;muscle artifact;muscle artifact;muscle artifact
sub-01_ses-03_task-training_eeg,30,6,eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;eye blink
sub-02_ses-02_task-training_eeg,30,12,eye blink;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-01_ses-04_task-training_eeg,30,5,eye blink;muscle artifact;muscle artifact;eye blink;channel noise
sub-01_ses-05_task-training_eeg,30,6,eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;heart beat
sub-02_ses-03_task-training_eeg,30,9,eye blink;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-01_ses-06_task-training_eeg,30,8,eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;eye blink;eye blink;channel noise
sub-02_ses-04_task-training_eeg,30,9,eye blink;muscle artifact;eye blink;muscle artifact;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-01_ses-07_task-training_eeg,30,3,eye blink;eye blink;eye blink
sub-01_ses-08_task-training_eeg,30,4,eye blink;channel noise;channel noise;eye blink
sub-02_ses-05_task-training_eeg,30,9,eye blink;eye blink;eye blink;muscle artifact;muscle artifact;eye blink;muscle artifact;muscle artifact;heart beat
sub-01_ses-09_task-training_eeg,30,5,eye blink;eye blink;eye blink;muscle artifact;muscle artifact
sub-02_ses-06_task-training_eeg,30,11,eye blink;eye blink;channel noise;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;heart beat;muscle artifact
sub-03_ses-01_task-training_eeg,30,6,eye blink;muscle artifact;eye blink;muscle artifact;muscle artifact;channel noise
sub-02_ses-07_task-training_eeg,30,11,channel noise;eye blink;muscle artifact;eye blink;muscle artifact;channel noise;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-03_ses-02_task-training_eeg,30,9,eye blink;muscle artifact;muscle artifact;eye blink;eye blink;eye blink;channel noise;muscle artifact;channel noise
sub-02_ses-08_task-training_eeg,30,16,eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-03_ses-03_task-training_eeg,30,9,eye blink;muscle artifact;muscle artifact;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-02_ses-09_task-training_eeg,30,9,eye blink;muscle artifact;eye blink;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-03_ses-04_task-training_eeg,30,4,eye blink;muscle artifact;muscle artifact;eye blink
sub-04_ses-01_task-training_eeg,30,6,eye blink;muscle artifact;eye blink;eye blink;muscle artifact;eye blink
sub-03_ses-05_task-training_eeg,30,3,eye blink;muscle artifact;eye blink
sub-04_ses-02_task-training_eeg,30,6,eye blink;eye blink;muscle artifact;muscle artifact;eye blink;eye blink
